Modelo,Imagen,Descripcion,Unidad,Tipo,Cantidad_Ensamble,Cantidad_Atornillado
KV-NC1EP,imagenes_materiales/KV-NC1EP.png,Unidad de comunicación/expación PLC,Pieza,Dispositvos,1,0
KV-XLE02,imagenes_materiales/KV-XLE02.png,Unidad de comunicación/expación PLC,Pieza,Dispositvos,0,1
PCRY-4M1N,imagenes_materiales/PCRY-4M1N.png,4-Point Relay Terminal PCRY,Pieza,Dispositvos,1,1
S8VKC24024,imagenes_materiales/S8VKC24024.png,Fuente de alimentacion FUENTE D 10 AMP 24,Pieza,Dispositvos,1,1
W4S1-05D,imagenes_materiales/W4S1-05D.png,Switch,Pieza,Dispositvos,1,1
3SU1801-2GA00-2AA1,imagenes_materiales/3SU1801-2GA00-2AA1.png,Boton Finish/ start,Pieza,Perifericos,1,1
506-040,imagenes_materiales/506-040.png,"Cable jack a jack DB9 Null Modem, de 3 m",Pieza,Perifericos,1,1
FJCU15A-PS-4,imagenes_materiales/FJCU15A-PS-4.png,Cable de alimentacion electrica,Pieza,Perifericos,1,1
ICUSB232V2,imagenes_materiales/ICUSB232V2.png,Cable de 0.3m USB a Puerto Serial RS232 DB9.,Pieza,Perifericos,1,1
IES208,imagenes_materiales/IES208.png,Sensor inductivo,Pieza,Perifericos,0,1
PR-FB15N3,imagenes_materiales/PR-FB15N3.png,SENSOR PRESENCIA. PR-FB15N3,Pieza,Perifericos,0,1
PZ-V11,imagenes_materiales/PZ-V11.png,"Tipo de cable reflectivo cuadrado, NPN",Pieza,Perifericos,1,0
VT5-W07,imagenes_materiales/VT5-W07.png,"HMI 7""",Pieza,Perifericos,1,1
